13,FFT,float32,1024,1024,1024,4,4,MPI,4,3889.9295,466.8653,680.0846,585.4890,63.6592,619.8255
13,IFFT,float32,1024,1024,1024,4,4,MPI,4,735.6186,522.6760,813.4406,715.1159,81.8557,522.6760
9,FFT,float32,1024,1024,1024,4,4,MPI,4,3772.3570,455.6259,783.4394,585.6440,90.3915,619.8985
9,IFFT,float32,1024,1024,1024,4,4,MPI,4,801.1413,507.1592,819.5031,709.3533,95.8922,507.1592
8,FFT,float32,1024,1024,1024,4,4,MPI,4,3763.0269,635.0074,844.3839,724.3487,62.9582,844.3839
8,IFFT,float32,1024,1024,1024,4,4,MPI,4,714.7493,424.2822,709.7079,572.1485,71.4277,522.6632
2,FFT,float32,1024,1024,1024,4,4,MPI,4,3742.9150,733.4001,1084.9810,886.1274,111.6694,1020.3264
2,IFFT,float32,1024,1024,1024,4,4,MPI,4,471.5421,251.7565,550.5316,394.1257,97.3905,338.5318
12,FFT,float32,1024,1024,1024,4,4,MPI,4,3871.1955,646.1695,871.1824,715.0421,64.6055,871.1824
12,IFFT,float32,1024,1024,1024,4,4,MPI,4,623.8901,493.3885,714.0962,582.8480,68.1767,495.8518
11,FFT,float32,1024,1024,1024,4,4,MPI,4,3801.5017,415.6692,783.9422,540.6995,109.8794,657.1408
11,IFFT,float32,1024,1024,1024,4,4,MPI,4,782.6579,594.7007,809.5333,763.0810,59.3638,594.7007
0,FFT,float32,1024,1024,1024,4,4,MPI,4,3693.4225,658.3063,1022.2558,803.1372,97.4373,1022.2558
0,IFFT,float32,1024,1024,1024,4,4,MPI,4,719.8176,290.2308,678.2357,493.4756,105.4244,502.2622
14,FFT,float32,1024,1024,1024,4,4,MPI,4,3858.3325,679.8923,1023.9508,873.5959,90.3744,1023.9508
14,IFFT,float32,1024,1024,1024,4,4,MPI,4,432.8652,287.1984,500.3501,408.5746,64.7768,338.4272
15,FFT,float32,1024,1024,1024,4,4,MPI,4,3873.2769,462.0176,680.3420,536.7555,77.1581,619.5437
15,IFFT,float32,1024,1024,1024,4,4,MPI,4,696.7664,594.9702,809.6857,771.1108,61.0723,594.9702
13,FFT,float32,1024,1024,1024,1,16,NCCL,4,1134.5437,130.1413,209.9125,140.2624,23.3566,131.5394
13,IFFT,float32,1024,1024,1024,1,16,NCCL,4,224.4409,132.7633,137.0663,134.1719,1.3539,132.7633
14,FFT,float32,1024,1024,1024,1,16,NCCL,4,1205.2816,130.4296,210.3603,140.0539,23.5535,131.8853
14,IFFT,float32,1024,1024,1024,1,16,NCCL,4,224.8959,132.6085,137.3754,134.3920,1.4603,132.6085
12,FFT,float32,1024,1024,1024,1,16,NCCL,4,1134.6361,130.2733,209.9272,140.1528,23.3976,131.2176
12,IFFT,float32,1024,1024,1024,1,16,NCCL,4,224.7848,133.0301,137.5565,134.3612,1.4454,133.4186
15,FFT,float32,1024,1024,1024,1,16,NCCL,4,1134.7000,130.3299,210.6297,140.0793,23.6511,131.8849
15,IFFT,float32,1024,1024,1024,1,16,NCCL,4,224.7616,132.7363,137.4991,134.4158,1.4774,132.7363
1,FFT,float32,1024,1024,1024,1,16,NCCL,4,1162.2120,131.0343,209.6215,141.5014,22.8066,131.0343
1,IFFT,float32,1024,1024,1024,1,16,NCCL,4,226.1453,131.2884,134.3897,132.8417,0.9437,133.9949
2,FFT,float32,1024,1024,1024,1,16,NCCL,4,1227.9439,130.9815,210.7592,141.2505,23.2674,130.9815
2,IFFT,float32,1024,1024,1024,1,16,NCCL,4,224.9489,132.3322,134.2508,133.1584,0.5990,134.2508
11,FFT,float32,1024,1024,1024,1,16,NCCL,4,1162.1393,131.0884,205.7731,140.2669,21.9433,131.1208
11,IFFT,float32,1024,1024,1024,1,16,NCCL,4,226.0603,131.9078,135.6665,133.4440,1.2034,133.3298
5,FFT,float32,1024,1024,1024,1,16,NCCL,4,1226.3777,129.9559,211.2639,140.2178,23.8001,132.1739
5,IFFT,float32,1024,1024,1024,1,16,NCCL,4,224.4527,131.6977,135.4532,133.9064,1.1239,131.6977
3,FFT,float32,1024,1024,1024,1,16,NCCL,4,1237.3844,131.1376,211.0180,141.5251,23.2654,131.1376
3,IFFT,float32,1024,1024,1024,1,16,NCCL,4,225.6059,131.7300,134.1457,132.8636,0.7196,134.1457
0,FFT,float32,1024,1024,1024,1,16,NCCL,4,1162.4626,131.0995,209.8676,141.2159,22.9765,131.0995
0,IFFT,float32,1024,1024,1024,1,16,NCCL,4,226.0758,131.7604,134.3026,133.1160,0.8328,133.8266
10,FFT,float32,1024,1024,1024,1,16,NCCL,4,1215.3134,130.9681,205.5995,140.0461,21.9522,131.2802
10,IFFT,float32,1024,1024,1024,1,16,NCCL,4,225.4893,132.0798,135.7393,133.6258,1.0743,133.2460
8,FFT,float32,1024,1024,1024,1,16,NCCL,4,1164.3011,131.1469,205.9893,140.0509,22.0496,131.1607
8,IFFT,float32,1024,1024,1024,1,16,NCCL,4,225.4574,132.0368,135.9065,133.6662,1.2420,133.0681
6,FFT,float32,1024,1024,1024,1,16,NCCL,4,1221.3494,130.5270,212.5181,140.6922,24.0395,131.7258
6,IFFT,float32,1024,1024,1024,1,16,NCCL,4,224.8203,132.1805,135.2702,133.5526,0.9828,132.3708
