rank,FFT_type,precision,x,y,z,px,py,backend,nodes,jit_time,min_time,max_time,mean_time,std_time,last_time
0,IFFT,float32,1024,1024,1024,2,4,NCCL,2,580.7907,244.9359,255.3845,249.035,3.3355,248.4329
1,FFT,float32,1024,1024,1024,2,4,NCCL,2,1288.4269,187.028,393.6552,211.2735,60.8678,188.2914
1,IFFT,float32,1024,1024,1024,2,4,NCCL,2,582.1937,245.7285,255.4678,249.0916,3.4049,245.8252
4,FFT,float32,1024,1024,1024,2,4,NCCL,2,1329.7811,188.3658,395.4295,212.1151,61.1798,188.8746
4,IFFT,float32,1024,1024,1024,2,4,NCCL,2,579.3773,244.0538,255.5807,248.6777,3.4232,248.5352
7,FFT,float32,1024,1024,1024,2,4,NCCL,2,1302.9544,186.1165,395.8175,211.7614,61.4672,191.5677
7,IFFT,float32,1024,1024,1024,2,4,NCCL,2,580.2523,244.7043,252.4068,249.0437,2.1405,247.7281
6,FFT,float32,1024,1024,1024,2,4,NCCL,2,1329.358,188.1557,395.6805,213.5052,60.8199,193.6203
6,IFFT,float32,1024,1024,1024,2,4,NCCL,2,578.7847,243.3933,250.0107,247.2379,1.8515,247.374
5,FFT,float32,1024,1024,1024,2,4,NCCL,2,1314.2562,186.1625,396.1287,211.9389,61.4988,189.1407
5,IFFT,float32,1024,1024,1024,2,4,NCCL,2,580.0059,245.7797,255.1362,248.7272,3.1196,246.175
7,FFT,float32,1024,1024,1024,1,8,NCCL,2,835.9129,174.1565,340.1434,193.694,48.8704,177.528
7,IFFT,float32,1024,1024,1024,1,8,NCCL,2,437.6147,210.6534,219.4916,215.0621,3.1606,211.0601
6,FFT,float32,1024,1024,1024,1,8,NCCL,2,821.1576,173.9448,339.6329,193.8206,48.655,177.845
6,IFFT,float32,1024,1024,1024,1,8,NCCL,2,437.7031,210.7911,219.362,214.9498,3.0412,211.156
0,FFT,float32,1024,1024,1024,1,8,NCCL,2,816.2391,175.8422,341.0571,194.4966,48.9001,176.3545
0,IFFT,float32,1024,1024,1024,1,8,NCCL,2,436.9331,209.8135,218.9106,214.1311,3.4576,210.9752
3,FFT,float32,1024,1024,1024,1,8,NCCL,2,840.8588,174.3751,340.7634,194.3824,48.8889,176.9906
3,IFFT,float32,1024,1024,1024,1,8,NCCL,2,437.1843,209.443,219.5046,214.2963,3.9985,211.2143
1,FFT,float32,1024,1024,1024,1,8,NCCL,2,816.6538,176.1742,340.8347,194.5132,48.8201,176.4919
1,IFFT,float32,1024,1024,1024,1,8,NCCL,2,437.0032,210.0825,219.0292,214.1028,3.4321,210.8171
