rank,FFT_type,precision,x,y,z,px,py,backend,nodes,jit_time,min_time,max_time,mean_time,std_time,last_time
3,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,1159.9366,518.6295,832.6828,688.5079,104.5943,588.1645
2,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6445.0094,458.7192,997.0467,725.961,156.598,563.8493
2,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,1147.7236,457.0058,914.7133,727.7106,126.6303,674.9252
6,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6486.6636,566.3783,1089.3524,737.9833,151.1349,566.3783
6,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,1149.5133,459.9004,934.1793,717.1718,125.681,668.2676
10,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6878.0374,554.3677,942.8792,735.7952,110.7071,554.3677
10,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,713.8071,514.9163,825.0468,714.8129,88.1378,616.0015
15,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6846.1626,414.0758,1096.8267,729.1006,201.0985,414.0758
15,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,687.4687,389.0022,845.5712,717.4327,138.8439,751.1435
9,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6897.4646,484.5419,855.5403,655.7425,104.1847,657.6051
9,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,707.9379,398.2293,1111.9414,794.79,239.4059,986.8827
13,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6887.2818,325.7754,855.137,645.3063,150.7414,325.7754
13,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,646.576,575.8402,1029.5228,804.7858,151.2726,971.9427
12,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6906.2385,411.3991,800.9948,628.5052,132.2606,433.3605
12,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,676.1427,625.0735,1058.0185,823.1136,138.4856,991.5189
14,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6886.0504,459.2722,973.6348,713.3562,144.5422,649.212
14,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,774.0003,499.5421,940.7704,741.7993,139.972,592.6174
11,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6883.3798,489.4617,865.9764,706.2543,114.0435,721.728
11,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,707.4032,542.8202,1099.4542,745.9361,167.5216,593.0305
8,FFT,float32,1024,1024,1024,1,16,MPI4JAX,2,6905.9627,464.2317,818.6535,641.1578,110.6075,495.9918
8,IFFT,float32,1024,1024,1024,1,16,MPI4JAX,2,735.8344,589.8484,1104.4603,812.4965,154.0299,834.3088
3,FFT,float32,1024,1024,1024,16,1,MPI4JAX,2,6880.1338,449.5533,1186.818,645.0287,191.1318,568.9319
3,IFFT,float32,1024,1024,1024,16,1,MPI4JAX,2,680.3816,537.0683,1110.773,776.1468,160.6977,804.8235
2,FFT,float32,1024,1024,1024,16,1,MPI4JAX,2,6886.6778,361.7158,1051.0047,661.5026,177.9515,361.7158
2,IFFT,float32,1024,1024,1024,16,1,MPI4JAX,2,727.6342,503.0485,1173.811,762.4604,184.5568,715.4302
11,FFT,float32,1024,1024,1024,16,1,MPI4JAX,2,6307.2676,400.7015,1094.8863,688.6725,227.9527,546.8437
11,IFFT,float32,1024,1024,1024,16,1,MPI4JAX,2,1377.8203,543.8185,1292.2255,736.1201,225.9163,717.0595
5,FFT,float32,1024,1024,1024,16,1,MPI4JAX,2,6853.0638,244.8644,1045.9027,654.2219,221.0787,244.8644
5,IFFT,float32,1024,1024,1024,16,1,MPI4JAX,2,654.603,354.6916,1046.7867,771.1712,227.5835,828.5855
12,FFT,float32,1024,1024,1024,16,1,MPI4JAX,2,6325.8214,578.5608,960.7252,745.0203,111.0922,827.4562
12,IFFT,float32,1024,1024,1024,16,1,MPI4JAX,2,1341.2985,511.0399,918.2161,686.8306,114.2406,654.5858
7,FFT,float32,1024,1024,1024,16,1,MPI4JAX,2,6908.4862,492.4684,845.7863,674.0753,110.8853,605.6087
7,IFFT,float32,1024,1024,1024,16,1,MPI4JAX,2,656.74,496.0929,907.2127,758.4206,130.7292,907.2127
15,FFT,float32,1024,1024,1024,16,1,MPI4JAX,2,6309.856,583.8281,1026.3786,744.5121,121.7296,874.2926
15,IFFT,float32,1024,1024,1024,16,1,MPI4JAX,2,1303.7538,391.6593,961.6596,689.1187,159.6917,512.0846
6,FFT,float32,1024,1024,1024,16,1,MPI4JAX,2,6908.2062,459.7884,924.1909,692.6351,147.545,583.3307
6,IFFT,float32,1024,1024,1024,16,1,MPI4JAX,2,694.3629,359.66,905.0764,739.0643,172.5942,894.0641
14,FFT,float32,1024,1024,1024,16,1,MPI4JAX,2,6381.315,514.3061,1232.2155,750.6646,194.1572,877.5705
14,IFFT,float32,1024,1024,1024,16,1,MPI4JAX,2,1404.7225,474.5332,1154.0554,684.2188,176.1097,521.3238
