rank,FFT_type,precision,x,y,z,px,py,backend,nodes,jit_time,min_time,max_time,mean_time,std_time,last_time
10,FFT,float32,1024,1024,1024,4,4,MPI,2,10361.999,201.6101,950.351,640.2601,231.3001,564.7305
10,IFFT,float32,1024,1024,1024,4,4,MPI,2,891.3893,423.7481,1057.3808,769.8153,217.9053,765.0797
15,FFT,float32,1024,1024,1024,4,4,MPI,2,10405.2155,107.5106,676.4369,357.1573,208.1182,498.2796
15,IFFT,float32,1024,1024,1024,4,4,MPI,2,941.2871,612.3159,1349.0173,1056.0867,191.2513,612.3159
14,FFT,float32,1024,1024,1024,4,4,MPI,2,10381.2828,140.7355,934.759,581.0444,237.6246,684.065
14,IFFT,float32,1024,1024,1024,4,4,MPI,2,953.5209,424.0591,1099.5625,832.3478,199.3392,614.6009
0,FFT,float32,1024,1024,1024,4,4,MPI,2,9153.8539,589.0628,993.164,711.6537,114.1415,993.164
0,IFFT,float32,1024,1024,1024,4,4,MPI,2,761.8376,479.5521,953.5015,690.9539,158.8396,523.3521
4,FFT,float32,1024,1024,1024,4,4,MPI,2,9149.2803,434.8701,928.4116,654.7979,172.9837,928.4116
4,IFFT,float32,1024,1024,1024,4,4,MPI,2,764.1328,502.5013,981.8998,748.8701,149.1053,635.6624
3,FFT,float32,1024,1024,1024,4,4,MPI,2,9149.863,280.3213,889.0958,533.7479,169.288,487.3609
3,IFFT,float32,1024,1024,1024,4,4,MPI,2,760.3506,592.1494,1149.6608,875.8061,165.5434,592.1494
6,FFT,float32,1024,1024,1024,4,4,MPI,2,9150.0694,145.7595,926.6967,556.1447,247.5649,590.6976
6,IFFT,float32,1024,1024,1024,4,4,MPI,2,835.3907,430.3053,1055.9295,856.3182,192.5882,724.6784
2,FFT,float32,1024,1024,1024,4,4,MPI,2,9149.9743,207.3478,1285.6037,665.4539,279.4766,673.6061
2,IFFT,float32,1024,1024,1024,4,4,MPI,2,844.4527,292.5089,1100.8118,743.8441,271.075,587.7866
7,FFT,float32,1024,1024,1024,4,4,MPI,2,9146.267,104.9395,887.6248,385.6886,253.3591,602.4764
7,IFFT,float32,1024,1024,1024,4,4,MPI,2,844.3608,726.4219,1332.254,1026.9194,186.3642,726.4219
13,FFT,float32,1024,1024,1024,4,4,NCCL_PL,2,7541.7278,174.88,254.2789,183.6813,23.5611,175.7486
13,IFFT,float32,1024,1024,1024,4,4,NCCL_PL,2,231.2625,173.8941,178.0361,176.1169,1.0947,176.3358
14,FFT,float32,1024,1024,1024,4,4,NCCL_PL,2,7325.0728,174.2033,251.471,183.5672,22.6593,175.5206
14,IFFT,float32,1024,1024,1024,4,4,NCCL_PL,2,271.3939,174.6501,178.2837,175.9384,1.0086,176.196
8,FFT,float32,1024,1024,1024,4,4,NCCL_PL,2,7319.208,174.8062,249.213,183.9315,21.7819,177.9469
8,IFFT,float32,1024,1024,1024,4,4,NCCL_PL,2,246.18,174.512,176.6891,175.5101,0.733,175.2678
9,FFT,float32,1024,1024,1024,4,4,NCCL_PL,2,7349.329,174.7128,249.6796,183.9495,21.9359,178.1281
9,IFFT,float32,1024,1024,1024,4,4,NCCL_PL,2,240.3041,174.0902,176.7807,175.5109,0.8254,175.056
15,FFT,float32,1024,1024,1024,4,4,NCCL_PL,2,7331.1587,173.8931,250.7526,183.3519,22.4869,175.2535
15,IFFT,float32,1024,1024,1024,4,4,NCCL_PL,2,231.4866,174.9127,178.4879,176.0225,0.9684,175.7321
10,FFT,float32,1024,1024,1024,4,4,NCCL_PL,2,7324.3583,174.3184,250.6693,182.8957,22.5981,175.466
10,IFFT,float32,1024,1024,1024,4,4,NCCL_PL,2,247.1644,175.3584,178.46,176.8681,1.0888,176.9488
12,FFT,float32,1024,1024,1024,4,4,NCCL_PL,2,7287.5471,174.8034,250.3974,183.3139,22.3893,175.7633
12,IFFT,float32,1024,1024,1024,4,4,NCCL_PL,2,271.7939,174.1512,178.0492,176.1351,1.0492,176.6547
11,FFT,float32,1024,1024,1024,4,4,NCCL_PL,2,7328.4508,174.2932,249.9268,182.9417,22.3369,175.8483
11,IFFT,float32,1024,1024,1024,4,4,NCCL_PL,2,241.8424,174.613,178.1894,176.7682,1.155,177.0807
5,FFT,float32,1024,1024,1024,4,4,NCCL_PL,2,7013.8244,174.8099,250.572,183.3367,22.4446,176.1301
5,IFFT,float32,1024,1024,1024,4,4,NCCL_PL,2,512.5993,174.3111,177.7601,176.1051,0.9729,176.3933
2,FFT,float32,1024,1024,1024,4,4,NCCL_PL,2,7119.6218,174.298,249.3552,182.7182,22.2182,175.0609
2,IFFT,float32,1024,1024,1024,4,4,NCCL_PL,2,381.0879,175.4071,178.1615,176.8872,1.0524,176.9866
4,FFT,float32,1024,1024,1024,4,4,NCCL_PL,2,6998.0238,174.676,251.1239,183.4319,22.5922,176.0246
