rank,FFT_type,precision,x,y,z,px,py,backend,nodes,jit_time,min_time,max_time,mean_time,std_time,last_time
10,FFT,float32,1024,1024,1024,1,16,NCCL,2,2009.0798,159.0833,260.847,170.7985,30.0307,160.6188
10,IFFT,float32,1024,1024,1024,1,16,NCCL,2,381.9155,161.5669,170.4899,164.0706,2.5123,164.5435
1,FFT,float32,1024,1024,1024,1,16,NCCL,2,2012.195,158.9973,279.7908,172.4204,35.8001,158.9973
1,IFFT,float32,1024,1024,1024,1,16,NCCL,2,376.8376,161.507,165.5991,163.3848,1.2604,162.8454
5,FFT,float32,1024,1024,1024,1,16,NCCL,2,2017.2156,158.2438,268.543,170.9961,32.5371,158.2438
5,IFFT,float32,1024,1024,1024,1,16,NCCL,2,378.0633,161.7882,165.6289,163.8811,1.2993,165.3527
2,FFT,float32,1024,1024,1024,1,16,NCCL,2,2021.5316,158.4953,267.9206,170.9847,32.3297,158.4953
2,IFFT,float32,1024,1024,1024,1,16,NCCL,2,376.3423,162.1471,165.7728,163.6748,1.1478,163.2467
3,FFT,float32,1024,1024,1024,1,16,NCCL,2,2124.1151,158.4711,268.8692,171.084,32.6114,158.4711
3,IFFT,float32,1024,1024,1024,1,16,NCCL,2,373.8,162.1321,165.7484,163.6622,1.1873,163.3266
6,FFT,float32,1024,1024,1024,1,16,NCCL,2,2151.643,157.2402,268.207,171.2856,32.347,157.2402
6,IFFT,float32,1024,1024,1024,1,16,NCCL,2,380.6886,161.9052,164.7729,163.3815,1.1419,164.7729
4,FFT,float32,1024,1024,1024,1,16,NCCL,2,2039.6371,158.0847,278.6146,171.9606,35.573,158.0847
4,IFFT,float32,1024,1024,1024,1,16,NCCL,2,370.0231,161.9545,165.5525,163.9342,1.3072,165.5332
7,FFT,float32,1024,1024,1024,1,16,NCCL,2,2137.9005,157.7759,279.0996,172.4255,35.59,157.7759
7,IFFT,float32,1024,1024,1024,1,16,NCCL,2,382.1654,161.7625,164.675,163.3206,1.0517,163.9861
0,FFT,float32,1024,1024,1024,1,16,NCCL,2,2074.8358,159.0021,302.1763,174.6317,42.5237,159.0021
0,IFFT,float32,1024,1024,1024,1,16,NCCL,2,371.7317,161.8881,165.7132,163.4473,1.2353,162.7557
10,FFT,float32,1024,1024,1024,16,1,NCCL,2,1999.8481,159.6032,267.8846,172.5829,31.8124,161.863
10,IFFT,float32,1024,1024,1024,16,1,NCCL,2,381.9173,161.6133,166.1697,163.5002,1.5656,161.6133
13,FFT,float32,1024,1024,1024,16,1,NCCL,2,1999.5686,160.866,270.8744,173.0593,32.6346,161.8791
13,IFFT,float32,1024,1024,1024,16,1,NCCL,2,383.4686,161.6235,164.4483,162.9249,1.1557,161.752
14,FFT,float32,1024,1024,1024,16,1,NCCL,2,2069.4125,160.8115,256.8719,171.7709,28.4013,161.8376
14,IFFT,float32,1024,1024,1024,16,1,NCCL,2,381.9624,161.5763,176.9477,164.3004,4.3561,161.6963
15,FFT,float32,1024,1024,1024,16,1,NCCL,2,2068.4237,160.7808,255.1857,171.5859,27.9041,161.707
15,IFFT,float32,1024,1024,1024,16,1,NCCL,2,383.0008,161.6673,179.2675,164.5279,5.0147,161.742
12,FFT,float32,1024,1024,1024,16,1,NCCL,2,2067.7908,160.8555,268.5958,172.856,31.9438,161.9436
12,IFFT,float32,1024,1024,1024,16,1,NCCL,2,383.1532,161.262,164.7848,163.202,1.3073,161.7415
11,FFT,float32,1024,1024,1024,16,1,NCCL,2,2066.0904,159.5117,268.9134,172.6303,32.1361,161.9302
11,IFFT,float32,1024,1024,1024,16,1,NCCL,2,382.0002,161.7076,166.397,163.3812,1.4158,161.7159
8,FFT,float32,1024,1024,1024,16,1,NCCL,2,2009.7618,159.5645,235.7476,169.3197,22.1796,161.7546
8,IFFT,float32,1024,1024,1024,16,1,NCCL,2,370.7692,161.6251,230.8552,170.0884,20.3155,162.2844
9,FFT,float32,1024,1024,1024,16,1,NCCL,2,2024.1332,159.6703,247.4737,170.5062,25.6843,161.6753
9,IFFT,float32,1024,1024,1024,16,1,NCCL,2,383.4386,161.5113,185.7234,165.5383,6.9095,162.2868
2,FFT,float32,1024,1024,1024,16,1,NCCL,2,2103.3488,158.9724,287.8378,173.7344,38.0493,162.0005
2,IFFT,float32,1024,1024,1024,16,1,NCCL,2,382.9183,161.4705,168.7199,163.9812,2.0267,162.3019
7,FFT,float32,1024,1024,1024,16,1,NCCL,2,2100.9064,159.048,287.569,173.6926,37.9769,160.2239
7,IFFT,float32,1024,1024,1024,16,1,NCCL,2,383.0557,161.2802,169.0626,163.9606,2.0739,163.7573
1,FFT,float32,1024,1024,1024,16,1,NCCL,2,1963.0585,160.3581,286.9603,174.5439,37.4938,160.3581
1,IFFT,float32,1024,1024,1024,16,1,NCCL,2,382.8417,160.4662,166.7786,163.0824,1.5796,163.9641
6,FFT,float32,1024,1024,1024,16,1,NCCL,2,1979.2344,158.9431,287.3414,173.7186,37.8956,160.2805
6,IFFT,float32,1024,1024,1024,16,1,NCCL,2,382.8082,161.4482,169.2752,163.9602,2.1154,163.9086
3,FFT,float32,1024,1024,1024,16,1,NCCL,2,1965.272,158.9741,288.1799,173.7484,38.1577,162.0859
3,IFFT,float32,1024,1024,1024,16,1,NCCL,2,383.0162,161.5904,168.819,163.9839,2.0395,162.1727
4,FFT,float32,1024,1024,1024,16,1,NCCL,2,2006.1224,158.9556,288.964,173.7205,38.4394,160.0364
4,IFFT,float32,1024,1024,1024,16,1,NCCL,2,383.0848,160.9354,169.1571,164.0829,2.2937,163.7136
5,FFT,float32,1024,1024,1024,16,1,NCCL,2,1992.965,158.9552,289.4355,173.7537,38.5829,160.1399
5,IFFT,float32,1024,1024,1024,16,1,NCCL,2,383.1645,161.1076,169.3656,164.1116,2.253,163.8358
