function,precision,x,y,z,px,py,backend,nodes,jit_time,min_time,max_time,mean_time,std_div,last_time,generated_code,argument_size,output_size,temp_size,flops
IFFT,float64,1024,1024,1024,4,1,NCCL,1,248.0392,146.9227,151.062,148.5171,1.1988,146.9227,5352,4294967296,4294967296,8589934592,268435456.0
FFT,float32,256,256,256,2,4,NCCL,2,4439.0902,3.335,96.5702,12.6823,27.9626,3.3431,5224,8388608,16777216,33554432,2097151.0
IFFT,float32,256,256,256,2,4,NCCL,2,123.9634,3.4694,3.6255,3.5234,0.0417,3.5174,6376,16777216,16777216,33554432,2097151.0
FFT,float32,256,256,256,1,8,NCCL,2,971.532,3.1303,76.2673,10.4965,21.9236,3.1926,5224,8388608,16777216,33554432,2097151.0
IFFT,float32,256,256,256,1,8,NCCL,2,94.7174,3.2044,3.712,3.2881,0.144,3.2767,6376,16777216,16777216,33554432,2097151.0
FFT,float32,256,256,256,8,1,NCCL,2,940.586,3.1394,74.8983,10.395,21.5012,3.1394,5224,8388608,16777216,33554432,2097151.0
IFFT,float32,256,256,256,8,1,NCCL,2,93.2915,3.2139,3.6982,3.315,0.1404,3.2674,6376,16777216,16777216,33554432,2097151.0
FFT,float32,256,256,256,4,2,NCCL,2,931.4505,3.4075,74.8863,10.6628,21.408,3.4891,5224,8388608,16777216,33554432,2097151.0
IFFT,float32,256,256,256,4,2,NCCL,2,97.9463,3.5517,3.6594,3.6065,0.0436,3.5586,6376,16777216,16777216,33554432,2097151.0
FFT,float32,512,512,512,2,4,NCCL,2,951.3851,24.3951,95.0652,31.6371,21.1431,24.8904,5224,67108864,134217728,268435456,16777215.0
IFFT,float32,512,512,512,2,4,NCCL,2,110.2568,24.8416,25.0191,24.9473,0.0586,25.0038,5224,134217728,134217728,268435456,16777215.0
FFT,float32,512,512,512,1,8,NCCL,2,960.8798,22.1627,94.1581,29.6701,21.4971,22.514,5224,67108864,134217728,268435456,16777215.0
IFFT,float32,512,512,512,1,8,NCCL,2,110.045,22.6213,23.6774,22.9737,0.2778,22.9132,5224,134217728,134217728,268435456,16777215.0
FFT,float32,512,512,512,8,1,NCCL,2,959.0418,22.1699,93.0239,29.4319,21.198,22.7603,5224,67108864,134217728,268435456,16777215.0
IFFT,float32,512,512,512,8,1,NCCL,2,106.8359,22.7161,23.3026,22.9008,0.2015,22.8317,5224,134217728,134217728,268435456,16777215.0
FFT,float32,512,512,512,4,2,NCCL,2,956.6799,24.8782,137.4944,36.3058,33.7299,24.9784,5224,67108864,134217728,268435456,16777215.0
IFFT,float32,512,512,512,4,2,NCCL,2,113.6702,25.2531,26.2912,25.5058,0.2874,25.3656,5224,134217728,134217728,268435456,16777215.0
FFT,float32,1024,1024,1024,2,4,NCCL,2,1156.3784,193.5943,266.3768,201.4841,21.6392,194.7462,5480,536870912,1073741824,2147483648,134217728.0
IFFT,float32,1024,1024,1024,2,4,NCCL,2,283.6036,196.3038,197.6647,196.9875,0.4022,197.3835,5480,1073741824,1073741824,2147483648,134217728.0
FFT,float32,1024,1024,1024,1,8,NCCL,2,1166.9072,175.3137,251.8666,183.7398,22.7167,176.5376,5480,536870912,1073741824,2147483648,134217728.0
IFFT,float32,1024,1024,1024,1,8,NCCL,2,269.3555,179.4117,181.9929,180.298,0.7494,179.6,5480,1073741824,1073741824,2147483648,134217728.0
FFT,float32,1024,1024,1024,8,1,NCCL,2,1170.1283,174.2468,248.0385,182.198,21.9504,175.4022,5480,536870912,1073741824,2147483648,134217728.0
IFFT,float32,1024,1024,1024,8,1,NCCL,2,267.7447,178.1028,179.5575,179.0061,0.4435,179.0843,5480,1073741824,1073741824,2147483648,134217728.0
FFT,float32,1024,1024,1024,4,2,NCCL,2,1118.2727,194.7206,269.8522,202.9296,22.3133,195.2365,5480,536870912,1073741824,2147483648,134217728.0
IFFT,float32,1024,1024,1024,4,2,NCCL,2,288.8912,198.1962,199.3946,198.8943,0.3612,198.4542,5480,1073741824,1073741824,2147483648,134217728.0
FFT,float64,256,256,256,2,4,NCCL,2,1160.2411,6.2952,80.9508,13.8858,22.3551,6.4743,5736,16777216,33554432,67108864,2097151.0
IFFT,float64,256,256,256,2,4,NCCL,2,103.5954,6.463,6.6723,6.5912,0.0635,6.6386,6760,33554432,33554432,67108864,2097151.0
FFT,float64,256,256,256,1,8,NCCL,2,1207.6214,5.8979,77.8234,13.1501,21.5578,5.8979,5736,16777216,33554432,67108864,2097151.0
IFFT,float64,256,256,256,1,8,NCCL,2,100.0398,6.0306,6.5585,6.1977,0.1352,6.1561,6760,33554432,33554432,67108864,2097151.0
FFT,float64,256,256,256,8,1,NCCL,2,974.1289,5.8608,78.2891,13.1972,21.6974,6.0284,5736,16777216,33554432,67108864,2097151.0
IFFT,float64,256,256,256,8,1,NCCL,2,103.3856,5.8881,6.4582,6.1423,0.1408,5.8881,6760,33554432,33554432,67108864,2097151.0
FFT,float64,256,256,256,4,2,NCCL,2,946.3743,6.4753,82.116,14.1501,22.6555,6.4753,5736,16777216,33554432,67108864,2097151.0
IFFT,float64,256,256,256,4,2,NCCL,2,106.4005,6.6473,6.9341,6.7561,0.0905,6.6473,6760,33554432,33554432,67108864,2097151.0
FFT,float64,512,512,512,2,4,NCCL,2,984.2025,48.3485,119.3257,55.6917,21.2122,48.6281,5352,134217728,268435456,536870912,16777215.0
IFFT,float64,512,512,512,2,4,NCCL,2,135.9876,50.1597,50.6571,50.4524,0.1384,50.3044,5352,268435456,268435456,536870912,16777215.0
FFT,float64,512,512,512,1,8,NCCL,2,1031.936,43.4059,117.4312,51.2447,22.0637,44.1093,5352,134217728,268435456,536870912,16777215.0
IFFT,float64,512,512,512,1,8,NCCL,2,132.9782,45.4873,47.7158,46.4051,0.5613,46.517,5352,268435456,268435456,536870912,16777215.0
FFT,float64,512,512,512,8,1,NCCL,2,1035.3795,43.9184,115.689,51.3729,21.4396,44.2383,5352,134217728,268435456,536870912,16777215.0
IFFT,float64,512,512,512,8,1,NCCL,2,133.3592,45.6889,47.2105,46.3293,0.4642,45.6889,5352,268435456,268435456,536870912,16777215.0
FFT,float64,512,512,512,4,2,NCCL,2,965.0445,48.8969,120.0828,56.4567,21.2105,49.4558,5352,134217728,268435456,536870912,16777215.0
IFFT,float64,512,512,512,4,2,NCCL,2,143.0492,50.9607,51.3663,51.1632,0.1402,51.1531,5352,268435456,268435456,536870912,16777215.0
FFT,float64,1024,1024,1024,2,4,NCCL,2,1388.7858,391.0598,463.4483,399.9108,21.1928,394.1565,5480,1073741824,2147483648,4294967296,134217728.0
IFFT,float64,1024,1024,1024,2,4,NCCL,2,488.2008,404.6325,408.2035,406.5073,0.8619,407.0232,5352,2147483648,2147483648,4294967296,134217728.0
FFT,float64,1024,1024,1024,1,8,NCCL,2,1359.473,350.2516,419.8227,358.197,20.5567,350.4396,5480,1073741824,2147483648,4294967296,134217728.0
IFFT,float64,1024,1024,1024,1,8,NCCL,2,457.4396,368.061,371.6007,369.81,1.049,369.798,5352,2147483648,2147483648,4294967296,134217728.0
FFT,float64,1024,1024,1024,8,1,NCCL,2,1341.538,352.1245,424.5461,361.0246,21.1912,353.9567,5480,1073741824,2147483648,4294967296,134217728.0
