IFFT-cont,float32,1024,1024,1024,1,8,NCCL,1,93.7682,15.3501,16.0924,15.7884,0.2414,15.3501,5352,1073741824,1073741824,2147483648
FFT-noncont,float32,1024,1024,1024,1,8,NCCL,1,9821.3018,14.7185,85.7520,22.5016,21.0892,14.7766,5480,536870912,1073741824,2147483648
IFFT-noncont,float32,1024,1024,1024,1,8,NCCL,1,95.8990,16.0522,17.8260,17.1678,0.7521,16.0522,5352,1073741824,1073741824,2147483648
FFT-cont,float32,1024,1024,1024,8,1,NCCL,1,9634.3716,13.8207,84.0380,21.2324,20.9361,13.8207,5480,536870912,1073741824,2147483648
IFFT-cont,float32,1024,1024,1024,8,1,NCCL,1,94.7645,15.1529,16.0652,15.7809,0.3442,15.1663,5352,1073741824,1073741824,2147483648
FFT-noncont,float32,1024,1024,1024,8,1,NCCL,1,9616.4984,18.1851,88.6443,25.9153,20.9186,18.2380,5480,536870912,1073741824,2147483648
IFFT-noncont,float32,1024,1024,1024,8,1,NCCL,1,98.6584,19.6411,22.3999,21.1147,1.1986,19.6687,5352,1073741824,1073741824,2147483648
FFT-cont,float32,1024,1024,1024,4,2,NCCL,1,8215.4464,20.9848,93.7445,28.7194,21.6812,21.0208,5480,536870912,1073741824,2147483648
IFFT-cont,float32,1024,1024,1024,4,2,NCCL,1,125.2987,22.3045,24.3428,23.0319,0.8570,22.3045,5352,1073741824,1073741824,2147483648
FFT-noncont,float32,1024,1024,1024,4,2,NCCL,1,8144.2309,22.5268,95.1606,30.6342,21.5309,22.5371,5480,536870912,1073741824,2147483648
IFFT-noncont,float32,1024,1024,1024,4,2,NCCL,1,132.3243,23.9057,27.8136,25.4903,1.6295,24.0023,5352,1073741824,1073741824,2147483648
FFT-cont,float32,2048,2048,2048,2,4,NCCL,1,8323.5050,167.6046,250.0643,176.4701,24.5330,168.1676,5480,4294967296,8589934592,17179869184
IFFT-cont,float32,2048,2048,2048,2,4,NCCL,1,261.6329,178.8295,183.5966,179.4842,1.3808,179.1748,5352,8589934592,8589934592,17179869184
FFT-noncont,float32,2048,2048,2048,2,4,NCCL,1,8077.9515,186.8306,274.2463,195.7029,26.1813,186.8306,5480,4294967296,8589934592,17179869184
IFFT-noncont,float32,2048,2048,2048,2,4,NCCL,1,278.3719,199.0632,206.3130,199.9234,2.1342,199.2703,5352,8589934592,8589934592,17179869184
FFT-cont,float32,2048,2048,2048,1,8,NCCL,1,9776.2296,114.6647,192.1672,122.7600,23.1419,114.9880,5480,4294967296,8589934592,17179869184
IFFT-cont,float32,2048,2048,2048,1,8,NCCL,1,208.3176,125.2303,132.9979,126.1344,2.2902,125.3694,5352,8589934592,8589934592,17179869184
FFT-noncont,float32,2048,2048,2048,1,8,NCCL,1,9976.4379,193.9018,271.3307,201.7386,23.1976,194.0075,5480,4294967296,8589934592,17179869184
IFFT-noncont,float32,2048,2048,2048,1,8,NCCL,1,276.9657,205.6300,226.1904,207.9528,6.0806,205.9099,5352,8589934592,8589934592,17179869184
FFT-cont,float32,2048,2048,2048,8,1,NCCL,1,9794.9360,113.5980,178.7042,120.2474,19.4865,113.5980,5480,4294967296,8589934592,17179869184
IFFT-cont,float32,2048,2048,2048,8,1,NCCL,1,208.5050,124.5422,134.0993,125.6444,2.8207,124.7802,5352,8589934592,8589934592,17179869184
FFT-noncont,float32,2048,2048,2048,8,1,NCCL,1,9804.0150,163.9253,243.5968,172.0322,23.8550,164.1712,5480,4294967296,8589934592,17179869184
IFFT-noncont,float32,2048,2048,2048,8,1,NCCL,1,252.1752,175.6151,196.4722,177.8468,6.2102,175.7426,5352,8589934592,8589934592,17179869184
FFT-cont,float32,2048,2048,2048,4,2,NCCL,1,8492.1070,165.8078,237.4310,173.1084,21.4411,165.8078,5480,4294967296,8589934592,17179869184
IFFT-cont,float32,2048,2048,2048,4,2,NCCL,1,263.8519,179.9243,187.0079,180.7570,2.0858,179.9819,5352,8589934592,8589934592,17179869184
FFT-noncont,float32,2048,2048,2048,4,2,NCCL,1,8242.9987,177.7603,255.3080,185.5692,23.2463,177.7840,5480,4294967296,8589934592,17179869184
IFFT-noncont,float32,2048,2048,2048,4,2,NCCL,1,266.8486,190.3880,198.9585,191.3244,2.5450,190.3880,5352,8589934592,8589934592,17179869184
FFT-cont,float64,256,256,256,2,4,NCCL,1,8833.3866,1.0446,71.5218,8.1140,21.1360,1.0446,5736,16777216,33554432,67108864
IFFT-cont,float64,256,256,256,2,4,NCCL,1,155.6815,1.1393,1.2491,1.1766,0.0308,1.1868,6376,33554432,33554432,67108864
FFT-noncont,float64,256,256,256,2,4,NCCL,1,8338.6486,2.0167,68.7468,8.7426,20.0014,2.0988,5736,16777216,33554432,67108864
IFFT-noncont,float64,256,256,256,2,4,NCCL,1,83.6476,2.0893,2.1262,2.1001,0.0113,2.1128,6376,33554432,33554432,67108864
FFT-cont,float64,256,256,256,1,8,NCCL,1,9713.1995,0.5862,70.4182,7.6079,20.9368,0.5862,5736,16777216,33554432,67108864
