FFT-cont,float32,256,256,256,2,2,NCCL,1,1932.4609,1.9933,74.5151,9.3438,21.7238,2.1266,5608,16777216,33554432,67108864
IFFT-cont,float32,256,256,256,2,2,NCCL,1,175.0156,2.0048,2.2928,2.1917,0.0794,2.2100,5224,33554432,33554432,67108864
FFT-noncont,float32,256,256,256,2,2,NCCL,1,883.3518,2.5210,75.1696,10.0112,21.7197,2.8328,5608,16777216,33554432,67108864
IFFT-noncont,float32,256,256,256,2,2,NCCL,1,91.6830,2.7363,2.9808,2.9106,0.0843,2.8807,5224,33554432,33554432,67108864
FFT-cont,float32,256,256,256,1,4,NCCL,1,983.7564,1.0062,74.8158,8.4396,22.1254,1.0736,5608,16777216,33554432,67108864
IFFT-cont,float32,256,256,256,1,4,NCCL,1,91.6309,1.1293,1.3036,1.2344,0.0488,1.2413,5224,33554432,33554432,67108864
FFT-noncont,float32,256,256,256,1,4,NCCL,1,848.3614,0.9353,76.9821,8.5497,22.8108,0.9476,5608,16777216,33554432,67108864
IFFT-noncont,float32,256,256,256,1,4,NCCL,1,89.9688,1.0539,1.1205,1.0714,0.0181,1.0609,5224,33554432,33554432,67108864
